账户(出资实体),交易日期,股票代码,股票名称,交易,股数,交易货币,价格,股票总值,股票净值
J,2017/6/23,COWN,Cowen Group,买入,"1,100.00", 美元(USD) ,15.96,"17,560.00","17,586.34"
J,2017/6/26,COWN,Cowen Group,买入,200, 美元(USD) ,16,"3,200.00","3,204.80"
F,2017/7/5,002027.SZ,分众传媒,卖出,"-7,500,000.00", 人民币(CNY) ,12.8,"-96,000,000.00","-95,865,600.00"
C,2017/7/14,CLNS,Colony Northstar,卖出,"-344,800.00", 美元(USD) ,14.63,"-5,044,630.88","-5,036,947.39"
B,2017/7/18,CLNS,Colony Northstar,卖出,"-214,300.00", 美元(USD) ,14.67,"-3,143,202.39","-3,140,986.78"
J,2017/7/31,COWN,Cowen Group,买入,"3,700.00", 美元(USD) ,15.96,"59,070.00","59,158.61"
J,2017/8/1,COWN,Cowen Group,买入,"3,603.00", 美元(USD) ,15.88,"57,207.25","57,293.06"
J,2017/8/2,COWN,Cowen Group,买入,"5,603.00", 美元(USD) ,15.84,"88,747.70","88,880.82"
J,2017/8/3,COWN,Cowen Group,买入,"8,600.00", 美元(USD) ,15.85,"136,352.50","136,557.03"
J,2017/8/8,COWN,Cowen Group,买入,"1,800.00", 美元(USD) ,16,"28,797.50","28,840.70"
J,2017/8/9,COWN,Cowen Group,买入,"15,467.00", 美元(USD) ,15.71,"242,998.25","243,362.75"
J,2017/8/10,COWN,Cowen Group,买入,"14,200.00", 美元(USD) ,15.88,"225,538.76","225,877.07"
J,2017/8/16,COWN,Cowen Group,买入,100, 美元(USD) ,16,"1,600.00","1,602.40"
J,2017/8/17,COWN,Cowen Group,买入,"10,900.00", 美元(USD) ,15.81,"172,302.50","172,560.95"
J,2017/8/18,COWN,Cowen Group,买入,"12,204.00", 美元(USD) ,15.88,"193,757.54","194,048.18"
J,2017/8/21,COWN,Cowen Group,买入,"6,100.00", 美元(USD) ,15.93,"97,147.50","97,293.22"
J,2017/8/22,COWN,Cowen Group,买入,900, 美元(USD) ,16,"14,400.00","14,421.60"
J,2017/8/23,COWN,Cowen Group,买入,"5,500.00", 美元(USD) ,15.92,"87,585.00","87,716.38"
J,2017/8/24,COWN,Cowen Group,买入,"5,300.00", 美元(USD) ,15.94,"84,502.75","84,629.50"
J,2017/8/25,COWN,Cowen Group,买入,"1,191.00", 美元(USD) ,15.94,"18,988.95","19,017.43"
J,2017/8/29,COWN,Cowen Group,买入,"11,600.00", 美元(USD) ,15.99,"185,530.01","185,808.31"
J,2017/8/30,COWN,Cowen Group,买入,"8,000.00", 美元(USD) ,15.95,"127,630.00","127,821.45"
J,2017/8/31,COWN,Cowen Group,买入,400, 美元(USD) ,15.99,"6,395.00","6,404.59"
E,2017/9/5,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"12,259,150.00", 欧元(EUR) ,0.22,"2,675,682.08","2,683,709.13"
J,2017/9/5,COWN,Cowen Group,买入,"7,701.00", 美元(USD) ,15.89,"122,363.35","122,546.90"
E,2017/9/6,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"12,468,347.00", 欧元(EUR) ,0.21,"2,672,640.05","2,680,657.97"
J,2017/9/6,COWN,Cowen Group,买入,"6,900.00", 美元(USD) ,15.94,"109,967.50","110,132.45"
F,2017/9/6,002027.SZ,分众传媒,卖出,"-99,180,000.00", 人民币(CNY) ,8.68,"-860,882,400.00","-859,677,164.64"
E,2017/9/7,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"15,000,000.00", 欧元(EUR) ,0.21,"3,079,710.00","3,088,949.13"
J,2017/9/7,COWN,Cowen Group,买入,"9,498.00", 美元(USD) ,15.85,"150,513.20","150,738.97"
E,2017/9/8,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"25,193,789.00", 欧元(EUR) ,0.2,"4,918,633.81","4,933,389.72"
J,2017/9/8,COWN,Cowen Group,买入,"3,100.00", 美元(USD) ,15.97,"49,507.50","49,581.76"
E,2017/9/11,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"15,086,952.00", 欧元(EUR) ,0.2,"3,088,796.94","3,098,063.33"
C,2017/9/11,CLNS,Colony Northstar,买入,"54,970.00", 美元(USD) ,13.2,"725,543.53","726,631.85"
E,2017/9/12,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"4,874,857.00", 欧元(EUR) ,0.21,"1,021,984.52","1,023,739.84"
D,2017/9/12,CLNS,Colony Northstar,买入,"37,878.00", 美元(USD) ,13.19,"499,777.48","501,671.38"
C,2017/9/12,CLNS,Colony Northstar,买入,"134,425.00", 美元(USD) ,13.19,"1,773,657.22","1,780,378.47"
E,2017/9/13,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"1,700,000.00", 欧元(EUR) ,0.21,"359,203.20","359,820.27"
C,2017/9/13,CLNS,Colony Northstar,买入,"226,415.00", 美元(USD) ,12.99,"2,940,632.74","2,951,953.49"
E,2017/9/14,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"1,100,000.00", 欧元(EUR) ,0.21,"235,770.70","236,175.03"
E,2017/9/14,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"8,609,363.00", 欧元(EUR) ,0.21,"1,846,415.65","1,869,541.85"
B,2017/9/14,CLNS,Colony Northstar,买入,"155,500.00", 美元(USD) ,12.96,"2,015,311.10","2,016,866.10"
E,2017/9/15,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"9,923,204.00", 欧元(EUR) ,0.21,"2,112,422.00","2,116,051.43"
E,2017/9/15,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"8,420,950.00", 欧元(EUR) ,0.21,"1,796,314.95","1,818,814.89"
